,season,n_episode,title_episode,character,line
120,1,1,pilot episode,Penny,Do you want me to move?
121,1,1,pilot episode,Sheldon,Well.
122,1,1,pilot episode,Leonard,Just sit somewhere else.
123,1,1,pilot episode,Leonard,"Sheldon, sit!"
124,1,1,pilot episode,Sheldon,Aaah!
125,1,1,pilot episode,Leonard,Well this is nice. We don’t have a lot of company over.
126,1,1,pilot episode,Sheldon,That’s not true. Koothrapali and Wolowitz come over all the time.
127,1,1,pilot episode,Leonard,"Yes I now, but…"
128,1,1,pilot episode,Sheldon,Tuesday night we played Klingon boggle until one in the morning.
129,1,1,pilot episode,Leonard,"Yes, I remember."
130,1,1,pilot episode,Sheldon,I resent you saying we don’t have company.
131,1,1,pilot episode,Leonard,I’m sorry.
132,1,1,pilot episode,Sheldon,That is an antisocial implication.
133,1,1,pilot episode,Leonard,I said I’m sorry.
134,1,1,pilot episode,Penny,"So, Klingon boggle?"
135,1,1,pilot episode,Leonard,"Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you."
136,1,1,pilot episode,Penny,"Um, me, okay, I’m Sagittarius, which probably tells you way more than you need to know."
137,1,1,pilot episode,Sheldon,"Yes, it tells us that you participate in the mass cultural delusion that the Sun’s apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality."
138,1,1,pilot episode,Penny,Participate in the what?
139,1,1,pilot episode,Leonard,"I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess."
140,1,1,pilot episode,Penny,"Oh, yeah, a lot of people think I’m a water sign. Okay, let’s see, what else, oh, I’m a vegetarian, oh, except for fish, and the occasional steak, I love steak."
141,1,1,pilot episode,Sheldon,That’s interesting. Leonard can’t process corn.
142,1,1,pilot episode,Leonard,"Wu-uh, do you have some sort of a job?"
143,1,1,pilot episode,Penny,"Oh, yeah, I’m a waitress at the Cheesecake Factory."
144,1,1,pilot episode,Leonard,"Oh, okay. I love cheesecake."
145,1,1,pilot episode,Sheldon,You’re lactose intolerant.
146,1,1,pilot episode,Leonard,"I don’t eat it, I just think it’s a good idea."
147,1,1,pilot episode,Penny,"Oh, anyways, I’m also writing a screenplay. It’s about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory."
148,1,1,pilot episode,Leonard,So it’s based on your life?
149,1,1,pilot episode,Penny,"No, I’m from Omaha."
150,1,1,pilot episode,Leonard,"Well, if that was a movie I would go see it."
151,1,1,pilot episode,Penny,"I know, right? Okay, let’s see, what else? Um, that’s about it. That’s the story of Penny."
152,1,1,pilot episode,Leonard,Well it sounds wonderful.
153,1,1,pilot episode,Penny,It was. Until I fell in love with a jerk.
154,1,1,pilot episode,Sheldon,What’s happening.
155,1,1,pilot episode,Leonard,I don’t know.
156,1,1,pilot episode,Penny,"Oh God, you know, four years I lived with him, four years, that’s like as long as High School."
157,1,1,pilot episode,Sheldon,It took you four years to get through High School?
158,1,1,pilot episode,Leonard,Don’t.
159,1,1,pilot episode,Leonard,Should I say something? I feel like I should say something.
160,1,1,pilot episode,Sheldon,"You? No, you’ll only make it worse."
161,1,1,pilot episode,Penny,"You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?"
162,1,1,pilot episode,Sheldon,Yes.
163,1,1,pilot episode,Leonard,"No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse."
164,1,1,pilot episode,Penny,"Oh, I’m so sorry, I’m such a mess, and on top of everything else I’m all gross from moving and my stupid shower doesn’t even work."
165,1,1,pilot episode,Leonard,Our shower works.
166,1,1,pilot episode,Penny,Really? Would it be totally weird if I used it?
167,1,1,pilot episode,Sheldon,Yes.
168,1,1,pilot episode,Leonard,No.
169,1,1,pilot episode,Sheldon,No?
170,1,1,pilot episode,Leonard,No.
171,1,1,pilot episode,Sheldon,No.
172,1,1,pilot episode,Leonard,It’s right down the hall.
173,1,1,pilot episode,Sheldon,Well this is an interesting development.
174,1,1,pilot episode,Leonard,How so?
175,1,1,pilot episode,Sheldon,It has been some time since we’ve had a woman take her clothes off in our apartment.
176,1,1,pilot episode,Leonard,"That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode."
177,1,1,pilot episode,Sheldon,Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out.
178,1,1,pilot episode,Leonard,The worst part was watching her carve that turkey.
179,1,1,pilot episode,Sheldon,"So, what exactly are you trying to accomplish here?"
180,1,1,pilot episode,Leonard,Excuse me?
181,1,1,pilot episode,Sheldon,That woman in there’s not going to have sex with you.
182,1,1,pilot episode,Leonard,Well I’m not trying to have sex with her.
183,1,1,pilot episode,Sheldon,"Oh, good. Then you won’t be disappointed."
184,1,1,pilot episode,Leonard,"What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?"
185,1,1,pilot episode,Sheldon,"Yes, but not of the same species."
186,1,1,pilot episode,Leonard,"I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour."
187,1,1,pilot episode,Sheldon,"Oh, of course."
188,1,1,pilot episode,Leonard,That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.
189,1,1,pilot episode,Sheldon,Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
190,1,1,pilot episode,Howard,Wait till you see this.
191,1,1,pilot episode,Raj,It’s fantastic. Unbelievable.
192,1,1,pilot episode,Leonard,See what?
193,1,1,pilot episode,Howard,It’s a Stephen Hawking lecture from MIT in 1974.
194,1,1,pilot episode,Leonard,This is not a good time.
195,1,1,pilot episode,Howard,It’s before he became a creepy computer voice
196,1,1,pilot episode,Leonard,"That’s great, you guys have to go."
197,1,1,pilot episode,Raj,Why?
198,1,1,pilot episode,Leonard,It’s just not a good time.
199,1,1,pilot episode,Sheldon,Leonard has a lady over.
200,1,1,pilot episode,Howard,"Yeah, right, your grandmother back in town?"
201,1,1,pilot episode,Leonard,"No. And she’s not a lady, she’s just a new neighbour."
202,1,1,pilot episode,Howard,"Hang on, there really is a lady here?"
203,1,1,pilot episode,Leonard,Uh-huh.
204,1,1,pilot episode,Howard,And you want us out because you’re anticipating coitus?
205,1,1,pilot episode,Leonard,I’m not anticipating coitus.
206,1,1,pilot episode,Howard,So she’s available for coitus?
207,1,1,pilot episode,Sheldon,Technically that would be coitus interruptus.
208,1,1,pilot episode,Penny,"Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!"
209,1,1,pilot episode,Howard,"Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, it’s currently orbiting Jupiter’s largest moon taking high-resolution digital photographs."
210,1,1,pilot episode,Penny,Penny. I work at the Cheesecake Factory.
211,1,1,pilot episode,Leonard,"Come on, I’ll show you the trick with the shower."
212,1,1,pilot episode,Howard,Bon douche.
213,1,1,pilot episode,Penny,I’m sorry?
214,1,1,pilot episode,Howard,It’s French for good shower. It’s a sentiment I can express in six languages.
215,1,1,pilot episode,Leonard,"Save it for your blog, Howard."
216,1,1,pilot episode,Howard,See-ka-tong-guay-jow.
217,1,1,pilot episode,Leonard,"Uh, there it goes, it sticks, I’m sorry."
218,1,1,pilot episode,Leonard,"You’re welcome, oh, you’re going to step right, okay, I’ll…."
219,1,1,pilot episode,Penny,"Hey, Leonard?"
220,1,1,pilot episode,Leonard,The hair products are Sheldon’s.
221,1,1,pilot episode,Penny,"Um, okay. Can I ask you a favour."
222,1,1,pilot episode,Leonard,"A favour? Sure, you can ask me a favour, I would do you a favour for you."
223,1,1,pilot episode,Penny,It’s okay if you say no.
224,1,1,pilot episode,Leonard,"Oh, I’ll probably say yes."
225,1,1,pilot episode,Penny,It’s just not the kind of thing you ask a guy you’ve just met.
226,1,1,pilot episode,Leonard,Wow.
227,1,1,pilot episode,Sheldon,I really think we should examine the chain of causality here.
228,1,1,pilot episode,Leonard,Must we?
229,1,1,pilot episode,Sheldon,"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
230,1,1,pilot episode,Leonard,"She asked me to do her a favour, Sheldon."
231,1,1,pilot episode,Sheldon,"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause."
232,1,1,pilot episode,Leonard,Which is?
233,1,1,pilot episode,Sheldon,You think with your penis.
234,1,1,pilot episode,Leonard,That’s a biological impossibility and you didn’t have to come.
235,1,1,pilot episode,Sheldon,"Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why can’t she get her own TV."
236,1,1,pilot episode,Leonard,"Come on, you know how it is with break-ups."
237,1,1,pilot episode,Sheldon,No I don’t. And neither do you.
238,1,1,pilot episode,Leonard,"Wuh, I, I broke up with Joyce Kim."
239,1,1,pilot episode,Sheldon,"You did not break up with Joyce Kim, she defected to North Korea."
240,1,1,pilot episode,Leonard,To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.
241,1,1,pilot episode,Sheldon,So we get to have a scene with him?
242,1,1,pilot episode,Leonard,"No, Sheldon, there’s not going to be a scene. There’s two of us and one of him."
243,1,1,pilot episode,Sheldon,"Leonard, the two of us can’t even carry a TV."
244,1,1,pilot episode,Penny,"So, you guys work with Leonard and Sheldon at the University?"
245,1,1,pilot episode,Penny,"Uh, I’m sorry, do you speak English?"
246,1,1,pilot episode,Howard,"Oh, he speaks English, he just can’t speak to women."
247,1,1,pilot episode,Penny,"Really, why?"
248,1,1,pilot episode,Howard,He’s kind of a nerd. Juice box?
249,1,1,pilot episode,Leonard,I’ll do the talking.
250,1,1,pilot episode,Voice from buzzer,Yeah.
251,1,1,pilot episode,Leonard,"Hi, I’m Leonard, this is Sheldon."
252,1,1,pilot episode,Sheldon,Hello.
253,1,1,pilot episode,Leonard,"What did I just…. Uh, we’re here to pick up Penny’s TV."
254,1,1,pilot episode,Voice,Get lost.
255,1,1,pilot episode,Sheldon,"Okay, thanks for your time."
256,1,1,pilot episode,Leonard,We’re not going to give up just like that.
257,1,1,pilot episode,Sheldon,"Leonard, the TV is in the building, we’ve been denied access to the building, ergo we are done."
258,1,1,pilot episode,Leonard,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
259,1,1,pilot episode,Sheldon,My apologies. What’s your plan.
260,1,1,pilot episode,Sheldon,It’s just a privilege to watch your mind at work.
261,1,1,pilot episode,Leonard,"Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building."
262,1,1,pilot episode,Sheldon,What do you think their combined IQ is?
263,1,1,pilot episode,Leonard,Just grab the door.
264,1,1,pilot episode,Leonard,This is it.
265,1,1,pilot episode,Sheldon,"Good thinking, I’ll just be the muscle."
266,1,1,pilot episode,Enormous man,Yeah?
267,1,1,pilot episode,Leonard,"I’m Leonard, this is Sheldon."
268,1,1,pilot episode,Sheldon,From the intercom.
269,1,1,pilot episode,Man,How the hell did you get in the building?
270,1,1,pilot episode,Leonard,Oh. We’re scientists.
271,1,1,pilot episode,Sheldon,Tell him about our IQ.
272,1,1,pilot episode,Sheldon,Leonard.
273,1,1,pilot episode,Leonard,What?
274,1,1,pilot episode,Sheldon,My mom bought me those pants.
275,1,1,pilot episode,Leonard,I’m sorry.
276,1,1,pilot episode,Sheldon,You’re going to have to call her.
277,1,1,pilot episode,Leonard,"Sheldon, I’m so sorry I dragged you through this."
278,1,1,pilot episode,Sheldon,"It’s okay. It wasn’t my first pantsing, and it won’t be my last."
279,1,1,pilot episode,Leonard,"And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex."
280,1,1,pilot episode,Sheldon,Well you got me out of my pants.
281,1,1,pilot episode,Leonard,"Anyway, I’ve learned my lesson. She’s out of my league, I’m done with her, I’ve got my work, one day I’ll win the Nobel Prize and then I’ll die alone."
282,1,1,pilot episode,Sheldon,"Don’t think like that, you’re not going to die alone."
283,1,1,pilot episode,Leonard,"Thank you Sheldon, you’re a good friend."
284,1,1,pilot episode,Sheldon,And you’re certainly not going to win a Nobel Prize.
285,1,1,pilot episode,Howard,"This is one of my favourite places to kick back after a quest, they have a great house ale."
286,1,1,pilot episode,Penny,"Wow, cool tiger."
287,1,1,pilot episode,Howard,"Yeah, I’ve had him since level ten. His name is Buttons. Anyway, if you had your own game character we could hang out, maybe go on a quest."
288,1,1,pilot episode,Penny,"Uh, sounds interesting."
289,1,1,pilot episode,Howard,So you’ll think about it?
290,1,1,pilot episode,Penny,"Oh, I don’t think I’ll be able to stop thinking about it."
291,1,1,pilot episode,Raj,Smooth.
292,1,1,pilot episode,Leonard,We’re home.
293,1,1,pilot episode,Penny,"Oh, my God, what happened?"
294,1,1,pilot episode,Leonard,"Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory."
295,1,1,pilot episode,Penny,"I’m so sorry, I really thought if you guys went instead of me he wouldn’t be such an ass."
296,1,1,pilot episode,Leonard,"No, it was a valid hypothesis."
297,1,1,pilot episode,Sheldon,That was a valid hypothesis? What is happening to you?
298,1,1,pilot episode,Penny,"Really, thank you so much for going and trying you’re, uh, you’re so terrific. Why don’t you put some clothes on, I’ll get my purse and dinner is on me, okay?"
299,1,1,pilot episode,Leonard,Really? Great.
300,1,1,pilot episode,Sheldon,"Thank you. You’re not done with her, are you?"
301,1,1,pilot episode,Leonard,Our babies will be smart and beautiful.
302,1,1,pilot episode,Sheldon,Not to mention imaginary.
303,1,1,pilot episode,Leonard,Is Thai food okay with you Penny?
304,1,1,pilot episode,Penny,Sure.
305,1,1,pilot episode,Sheldon,"We can’t have Thai food, we had Indian for lunch."
306,1,1,pilot episode,Penny,So?
307,1,1,pilot episode,Sheldon,They’re both curry based cuisines.
308,1,1,pilot episode,Penny,So?
309,1,1,pilot episode,Sheldon,They would be gastronomically redundant. I can see we’re going to have to spell out everything for this girl.
310,1,1,pilot episode,Howard,Turn left on Lake Street and head up to Colorado. I know a wonderful little sushi bar that has karaoke.
311,1,1,pilot episode,Penny,That sounds like fun.
312,1,1,pilot episode,Howard,"Baby, baby don’t get hooked on me. Uh, baby, baby don’t get hooked on me."
313,1,1,pilot episode,Sheldon,"I don’t know what your odds are in the world as a whole, but as far as the population of this car goes, you’re a veritable Mack Daddy."
314,1,2,the big bran hypothesis,Leonard,"There you go, Pad Thai, no peanuts."
315,1,2,the big bran hypothesis,Howard,But does it have peanut oil?
316,1,2,the big bran hypothesis,Leonard,"Uh, I’m not sure, everyone keep an eye on Howard in case he starts to swell up."
317,1,2,the big bran hypothesis,Sheldon,"Since it’s not bee season, you can have my epinephrine."
318,1,2,the big bran hypothesis,Raj,Are there any chopsticks?
319,1,2,the big bran hypothesis,Sheldon,"You don’t need chopsticks, this is Thai food."
320,1,2,the big bran hypothesis,Leonard,Here we go.
321,1,2,the big bran hypothesis,Sheldon,"Thailand has had the fork since the latter half of the nineteenth century. Interestingly they don’t actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth."
322,1,2,the big bran hypothesis,Leonard,"Ask him for a napkin, I dare you."
323,1,2,the big bran hypothesis,Leonard,I’ll get it.
324,1,2,the big bran hypothesis,Howard,Do I look puffy? I feel puffy.
325,1,2,the big bran hypothesis,Penny,Hey Leonard.
326,1,2,the big bran hypothesis,Leonard,"Oh, hi Penny."
327,1,2,the big bran hypothesis,Penny,Am I interrupting.
328,1,2,the big bran hypothesis,Leonard,No.
329,1,2,the big bran hypothesis,Sheldon,"You’re not swelling, Howard."
330,1,2,the big bran hypothesis,Howard,"No, no, look at my fingers, they’re like Vienna sausages."
331,1,2,the big bran hypothesis,Penny,Sounds like you have company.
332,1,2,the big bran hypothesis,Leonard,They’re not going anywhere.
333,1,2,the big bran hypothesis,Penny,"Well, you know, it’s the Cheesecake Factory. People order cheesecake, and I bring it to them."
334,1,2,the big bran hypothesis,Leonard,"So, you sort of act as a carbohydrate delivery system."
335,1,2,the big bran hypothesis,Penny,"Yeah, call it whatever you want, I get minimum wage. Yeah, anyways, I was wondering if you could help me out with something, I was…."
336,1,2,the big bran hypothesis,Leonard,Yes.
337,1,2,the big bran hypothesis,Penny,"Oh. Okay, great, I’m having some furniture delivered tomorrow, and I may not be here, so…."
338,1,2,the big bran hypothesis,Penny,I’m sorry?
339,1,2,the big bran hypothesis,Howard,Haven’t you ever been told how beautiful you are in flawless Russian?
340,1,2,the big bran hypothesis,Penny,"No, I haven’t."
341,1,2,the big bran hypothesis,Howard,Get used to it.
342,1,2,the big bran hypothesis,Penny,"Yeah, I probably won’t, but… Hey Sheldon."
343,1,2,the big bran hypothesis,Sheldon,Hi.
344,1,2,the big bran hypothesis,Penny,"Hey Raj!  Still not talking to me, huh?"
345,1,2,the big bran hypothesis,Sheldon,"Don’t take it personally, it’s his pathology, he can’t talk to women."
346,1,2,the big bran hypothesis,Howard,"He can’t talk to attractive women, or in your case a cheesecake–scented Goddess!"
347,1,2,the big bran hypothesis,Leonard,"So, there’s gonna be some furniture delivered?"
348,1,2,the big bran hypothesis,Penny,"Yeah, yeah, if it gets here and I’m not here tomorrow could you just sign for it and have them put it in my apartment."
349,1,2,the big bran hypothesis,Leonard,"Yeah, no problem."
350,1,2,the big bran hypothesis,Penny,"Great, here’s my spare key. Thank you."
351,1,2,the big bran hypothesis,Leonard,"Penny, wait."
352,1,2,the big bran hypothesis,Penny,Yeah?
353,1,2,the big bran hypothesis,Leonard,"Um, if you don’t have any other plans, do you want to join us for Thai food and a Superman movie marathon?"
354,1,2,the big bran hypothesis,Penny,"A marathon? Wow, how many Superman movies are there?"
355,1,2,the big bran hypothesis,Sheldon,"You’re kidding, right?"
356,1,2,the big bran hypothesis,Penny,"Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that?"
357,1,2,the big bran hypothesis,"Leonard,Sheldon and Howard together",One.
358,1,2,the big bran hypothesis,Sheldon,You realise that scene was rife with scientific inaccuracy.
359,1,2,the big bran hypothesis,Penny,"Yes, I know, men can’t fly."
360,1,2,the big bran hypothesis,Sheldon,"Oh no, let’s assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces."
361,1,2,the big bran hypothesis,Leonard,"Unless, Superman matches her speed and decelerates."
362,1,2,the big bran hypothesis,Sheldon,"In what space, sir, in what space? She’s two feet above the ground. Frankly, if he really loved her, he’d let her hit the pavement. It would be a more merciful death."
363,1,2,the big bran hypothesis,Leonard,"Excuse me, your entire argument is predicated on the assumption that Superman’s flight is a feat of strength."
364,1,2,the big bran hypothesis,Sheldon,"Are you listening to yourself, it is well established that Superman’s flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earth’s yellow Sun."
365,1,2,the big bran hypothesis,Howard,"Yeah, and you don’t have a problem with that, how does he fly at night."
