,season,n_episode,title_episode,character,line,clean_line,set
76,1,1,pilot episode,Leonard,I’m going to invite her over. We’ll have a nice meal and chat.,go invite nice meal chat,train
77,1,1,pilot episode,Sheldon,Chat? We don’t chat. At least not offline.,chat chat offline,train
78,1,1,pilot episode,Leonard,"Well it’s not difficult, you just listen to what she says and then you say something appropriate in response.",difficult listen say appropriate response,dev
79,1,1,pilot episode,Sheldon,To what end?,end,train
80,1,1,pilot episode,Leonard,Hi. Again.,,train
81,1,1,pilot episode,Penny,Hi.,,train
82,1,1,pilot episode,Sheldon,Hi.,,dev
83,1,1,pilot episode,Leonard,Hi.,,train
84,1,1,pilot episode,Penny,Hi.,,train
85,1,1,pilot episode,Leonard,"Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I’m undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don’t have to tell you that, uh, a clean colon is just one less thing to worry about.",bring home indian food know move stressful find undergo stress good food company comfort effect curry natural laxative tell clean colon thing worry,dev
86,1,1,pilot episode,Sheldon,"Leonard, I’m not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements.",leonard expert believe context luncheon invitation want skip reference bowel movement,train
87,1,1,pilot episode,Penny,"Oh, you’re inviting me over to eat?",invite eat,train
88,1,1,pilot episode,Leonard,"Uh, yes.",,train
89,1,1,pilot episode,Penny,"Oh, that’s so nice, I’d love to.",nice love,dev
90,1,1,pilot episode,Leonard,Great.,great,train
91,1,1,pilot episode,Penny,"So, what do you guys do for fun around here?",guy fun,train
92,1,1,pilot episode,Sheldon,"Well, today we tried masturbating for money.",today try masturbate money,train
93,1,1,pilot episode,Leonard,"Okay, well, make yourself at home.",home,train
94,1,1,pilot episode,Penny,"Okay, thankyou.",thankyou,train
95,1,1,pilot episode,Leonard,You’re very welcome.,,train
96,1,1,pilot episode,Penny,"This looks like some serious stuff, Leonard, did you do this?",look like stuff Leonard,train
97,1,1,pilot episode,Sheldon,Actually that’s my work.,actually work,dev
98,1,1,pilot episode,Penny,Wow.,,train
99,1,1,pilot episode,Sheldon,"Yeah, well, it’s just some quantum mechanics, with a little string theory doodling around the edges. That part there, that’s just a joke, it’s a spoof of the Bourne-Oppenheimer approximation.",quantum mechanic little string theory doodle edge joke spoof Bourne Oppenheimer approximation,train
100,1,1,pilot episode,Penny,"So you’re like, one of those, beautiful mind genius guys.",beautiful mind genius guy,train
101,1,1,pilot episode,Sheldon,Yeah.,,train
102,1,1,pilot episode,Penny,This is really impressive.,impressive,dev
103,1,1,pilot episode,Leonard,"I have a board. If you like boards, this is my board.",board like board board,dev
104,1,1,pilot episode,Penny,Holy smokes.,Holy smoke,train
105,1,1,pilot episode,Sheldon,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men’s room at MIT, sure.",holy smoke mean derivative restatement kind stuff find scribble wall man room MIT sure,train
106,1,1,pilot episode,Leonard,What?,,train
107,1,1,pilot episode,Sheldon,"Oh, come on. Who hasn’t seen this differential below “here I sit broken hearted?”",come see differential sit break hearted,train
108,1,1,pilot episode,Leonard,At least I didn’t have to invent twenty-six dimensions just to make the math come out.,invent dimension math come,train
109,1,1,pilot episode,Sheldon,"I didn’t invent them, they’re there.",invent,train
110,1,1,pilot episode,Leonard,In what universe?,universe,dev
111,1,1,pilot episode,Sheldon,"In all of them, that is the point.",point,train
112,1,1,pilot episode,Penny,"Uh, do you guys mind if I start?",guy mind start,train
113,1,1,pilot episode,Sheldon,"Um, Penny, that’s where I sit.",Penny sit,train
114,1,1,pilot episode,Penny,"So, sit next to me.",sit,train
115,1,1,pilot episode,Sheldon,"No, I sit there.",sit,train
116,1,1,pilot episode,Penny,What’s the difference?,difference,dev
117,1,1,pilot episode,Sheldon,What’s the difference?,difference,dev
118,1,1,pilot episode,Leonard,Here we go.,,train
119,1,1,pilot episode,Sheldon,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer it’s directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think I’ve made my point.",winter seat close radiator remain warm close perspiration summer directly path cross breeze create open window face television angle direct discourage conversation far wide create parallax distortion think point,train
120,1,1,pilot episode,Penny,Do you want me to move?,want,dev
121,1,1,pilot episode,Sheldon,Well.,,train
122,1,1,pilot episode,Leonard,Just sit somewhere else.,sit,train
123,1,1,pilot episode,Leonard,"Sheldon, sit!",Sheldon sit,train
124,1,1,pilot episode,Sheldon,Aaah!,Aaah,train
125,1,1,pilot episode,Leonard,Well this is nice. We don’t have a lot of company over.,nice lot company,train
126,1,1,pilot episode,Sheldon,That’s not true. Koothrapali and Wolowitz come over all the time.,true Koothrapali Wolowitz come time,train
127,1,1,pilot episode,Leonard,"Yes I now, but…",,dev
128,1,1,pilot episode,Sheldon,Tuesday night we played Klingon boggle until one in the morning.,Tuesday night play Klingon boggle morning,train
129,1,1,pilot episode,Leonard,"Yes, I remember.",remember,train
130,1,1,pilot episode,Sheldon,I resent you saying we don’t have company.,resent say company,train
131,1,1,pilot episode,Leonard,I’m sorry.,,dev
132,1,1,pilot episode,Sheldon,That is an antisocial implication.,antisocial implication,train
133,1,1,pilot episode,Leonard,I said I’m sorry.,say,train
134,1,1,pilot episode,Penny,"So, Klingon boggle?",Klingon boggle,train
135,1,1,pilot episode,Leonard,"Yeah, it’s like regular boggle but, in Klingon. That’s probably enough about us, tell us about you.",regular boggle Klingon probably tell,train
136,1,1,pilot episode,Penny,"Um, me, okay, I’m Sagittarius, which probably tells you way more than you need to know.",Sagittarius probably tell way nee know,train
137,1,1,pilot episode,Sheldon,"Yes, it tells us that you participate in the mass cultural delusion that the Sun’s apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality.",tell participate mass cultural delusion Sun apparent position relative arbitrarily define constellation time birth effect personality,dev
138,1,1,pilot episode,Penny,Participate in the what?,participate,train
139,1,1,pilot episode,Leonard,"I think what Sheldon’s trying to say, is that Sagittarius wouldn’t have been our first guess.",think Sheldon try Sagittarius guess,dev
140,1,1,pilot episode,Penny,"Oh, yeah, a lot of people think I’m a water sign. Okay, let’s see, what else, oh, I’m a vegetarian, oh, except for fish, and the occasional steak, I love steak.",lot people think water sign let vegetarian fish occasional steak love steak,train
141,1,1,pilot episode,Sheldon,That’s interesting. Leonard can’t process corn.,interesting Leonard process corn,train
142,1,1,pilot episode,Leonard,"Wu-uh, do you have some sort of a job?",Wu sort job,train
143,1,1,pilot episode,Penny,"Oh, yeah, I’m a waitress at the Cheesecake Factory.",waitress Cheesecake Factory,train
144,1,1,pilot episode,Leonard,"Oh, okay. I love cheesecake.",love cheesecake,train
145,1,1,pilot episode,Sheldon,You’re lactose intolerant.,lactose intolerant,train
146,1,1,pilot episode,Leonard,"I don’t eat it, I just think it’s a good idea.",eat think good idea,train
147,1,1,pilot episode,Penny,"Oh, anyways, I’m also writing a screenplay. It’s about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory.",write screenplay sensitive girl come Lincoln Nebraska actress wind waitress Cheesecake Factory,train
148,1,1,pilot episode,Leonard,So it’s based on your life?,base life,train
149,1,1,pilot episode,Penny,"No, I’m from Omaha.",Omaha,train
150,1,1,pilot episode,Leonard,"Well, if that was a movie I would go see it.",movie,train
151,1,1,pilot episode,Penny,"I know, right? Okay, let’s see, what else? Um, that’s about it. That’s the story of Penny.",know let Um story penny,dev
152,1,1,pilot episode,Leonard,Well it sounds wonderful.,sound wonderful,dev
153,1,1,pilot episode,Penny,It was. Until I fell in love with a jerk.,fall love jerk,dev
154,1,1,pilot episode,Sheldon,What’s happening.,happen,train
155,1,1,pilot episode,Leonard,I don’t know.,know,train
156,1,1,pilot episode,Penny,"Oh God, you know, four years I lived with him, four years, that’s like as long as High School.",God know year live year like long High School,train
157,1,1,pilot episode,Sheldon,It took you four years to get through High School?,take year High school,dev
158,1,1,pilot episode,Leonard,Don’t.,,train
159,1,1,pilot episode,Leonard,Should I say something? I feel like I should say something.,feel like,train
160,1,1,pilot episode,Sheldon,"You? No, you’ll only make it worse.",bad,train
161,1,1,pilot episode,Penny,"You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?",want know pathetic hate lie cheat gut love crazy,train
162,1,1,pilot episode,Sheldon,Yes.,,dev
163,1,1,pilot episode,Leonard,"No, it’s not crazy it’s, uh, uh, it’s a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didn’t make it worse.",crazy paradox paradox nature think light look Huygens light wave confirm double slit experiment come Albert Einstein discover light behave like particle bad,train
164,1,1,pilot episode,Penny,"Oh, I’m so sorry, I’m such a mess, and on top of everything else I’m all gross from moving and my stupid shower doesn’t even work.",sorry mess gross move stupid shower work,train
165,1,1,pilot episode,Leonard,Our shower works.,shower work,train
166,1,1,pilot episode,Penny,Really? Would it be totally weird if I used it?,totally weird,train
167,1,1,pilot episode,Sheldon,Yes.,,train
168,1,1,pilot episode,Leonard,No.,,train
169,1,1,pilot episode,Sheldon,No?,,train
170,1,1,pilot episode,Leonard,No.,,train
171,1,1,pilot episode,Sheldon,No.,,train
172,1,1,pilot episode,Leonard,It’s right down the hall.,right hall,train
173,1,1,pilot episode,Sheldon,Well this is an interesting development.,interesting development,dev
174,1,1,pilot episode,Leonard,How so?,,train
175,1,1,pilot episode,Sheldon,It has been some time since we’ve had a woman take her clothes off in our apartment.,time woman clothe apartment,train
176,1,1,pilot episode,Leonard,"That’s not true, remember at Thanksgiving my grandmother with Alzheimer’s had that episode.",true remember Thanksgiving grandmother Alzheimer episode,dev
177,1,1,pilot episode,Sheldon,Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out.,point take time woman clothe want rip eye,dev
178,1,1,pilot episode,Leonard,The worst part was watching her carve that turkey.,bad watch carve turkey,train
179,1,1,pilot episode,Sheldon,"So, what exactly are you trying to accomplish here?",exactly try accomplish,train
180,1,1,pilot episode,Leonard,Excuse me?,Excuse,train
181,1,1,pilot episode,Sheldon,That woman in there’s not going to have sex with you.,woman go sex,train
182,1,1,pilot episode,Leonard,Well I’m not trying to have sex with her.,try sex,train
183,1,1,pilot episode,Sheldon,"Oh, good. Then you won’t be disappointed.",good disappoint,train
184,1,1,pilot episode,Leonard,"What makes you think she wouldn’t have sex with me, I’m a male and she’s a female?",make think sex male female,dev
185,1,1,pilot episode,Sheldon,"Yes, but not of the same species.",specie,train
186,1,1,pilot episode,Leonard,"I’m not going to engage in hypotheticals here, I’m just trying to be a good neighbour.",go engage hypothetical try good neighbour,train
187,1,1,pilot episode,Sheldon,"Oh, of course.",course,train
188,1,1,pilot episode,Leonard,That’s not to say that if a carnal relationship were to develop that I wouldn’t participate. However briefly.,carnal relationship develop participate briefly,train
189,1,1,pilot episode,Sheldon,Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?,think possibility help hinder discover Luke Skywalker tear shampoo,train
190,1,1,pilot episode,Howard,Wait till you see this.,wait till,train
191,1,1,pilot episode,Raj,It’s fantastic. Unbelievable.,fantastic Unbelievable,train
192,1,1,pilot episode,Leonard,See what?,,train
193,1,1,pilot episode,Howard,It’s a Stephen Hawking lecture from MIT in 1974.,Stephen Hawking lecture MIT,train
194,1,1,pilot episode,Leonard,This is not a good time.,good time,train
195,1,1,pilot episode,Howard,It’s before he became a creepy computer voice,creepy computer voice,dev
196,1,1,pilot episode,Leonard,"That’s great, you guys have to go.",great guy,train
197,1,1,pilot episode,Raj,Why?,,train
198,1,1,pilot episode,Leonard,It’s just not a good time.,good time,train
199,1,1,pilot episode,Sheldon,Leonard has a lady over.,Leonard lady,train
200,1,1,pilot episode,Howard,"Yeah, right, your grandmother back in town?",grandmother town,train
201,1,1,pilot episode,Leonard,"No. And she’s not a lady, she’s just a new neighbour.",lady new neighbour,train
202,1,1,pilot episode,Howard,"Hang on, there really is a lady here?",hang lady,train
203,1,1,pilot episode,Leonard,Uh-huh.,,train
204,1,1,pilot episode,Howard,And you want us out because you’re anticipating coitus?,want anticipate coitus,train
205,1,1,pilot episode,Leonard,I’m not anticipating coitus.,anticipate coitus,train
206,1,1,pilot episode,Howard,So she’s available for coitus?,available coitus,train
207,1,1,pilot episode,Sheldon,Technically that would be coitus interruptus.,Technically coitus interruptus,train
208,1,1,pilot episode,Penny,"Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!",trick get switch tub shower,dev
209,1,1,pilot episode,Howard,"Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, it’s currently orbiting Jupiter’s largest moon taking high-resolution digital photographs.",Enchante Madamoiselle Howard Wolowitz Cal Tech department Applied Physics familiar work currently orbit Jupiter large moon take high resolution digital photograph,train
210,1,1,pilot episode,Penny,Penny. I work at the Cheesecake Factory.,penny work Cheesecake factory,train
211,1,1,pilot episode,Leonard,"Come on, I’ll show you the trick with the shower.",come trick shower,train
212,1,1,pilot episode,Howard,Bon douche.,bon douche,dev
213,1,1,pilot episode,Penny,I’m sorry?,,train
214,1,1,pilot episode,Howard,It’s French for good shower. It’s a sentiment I can express in six languages.,french good shower sentiment express language,train
215,1,1,pilot episode,Leonard,"Save it for your blog, Howard.",Save blog Howard,dev
216,1,1,pilot episode,Howard,See-ka-tong-guay-jow.,ka tong guay jow,train
217,1,1,pilot episode,Leonard,"Uh, there it goes, it sticks, I’m sorry.",go stick sorry,train
218,1,1,pilot episode,Leonard,"You’re welcome, oh, you’re going to step right, okay, I’ll….",go step right,train
219,1,1,pilot episode,Penny,"Hey, Leonard?",Leonard,train
220,1,1,pilot episode,Leonard,The hair products are Sheldon’s.,hair product Sheldon,train
221,1,1,pilot episode,Penny,"Um, okay. Can I ask you a favour.",ask favour,train
222,1,1,pilot episode,Leonard,"A favour? Sure, you can ask me a favour, I would do you a favour for you.",favour ask favour favour,train
223,1,1,pilot episode,Penny,It’s okay if you say no.,,train
224,1,1,pilot episode,Leonard,"Oh, I’ll probably say yes.",probably,train
225,1,1,pilot episode,Penny,It’s just not the kind of thing you ask a guy you’ve just met.,kind thing ask guy meet,dev
226,1,1,pilot episode,Leonard,Wow.,,dev
227,1,1,pilot episode,Sheldon,I really think we should examine the chain of causality here.,think examine chain causality,train
228,1,1,pilot episode,Leonard,Must we?,,dev
229,1,1,pilot episode,Sheldon,"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?",event beautiful woman stand naked shower event drive half way town retrieve television set aforementioned woman ex boyfriend Query plane existence semi rational link event,train
230,1,1,pilot episode,Leonard,"She asked me to do her a favour, Sheldon.",ask favour Sheldon,train
231,1,1,pilot episode,Sheldon,"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause.",proximal journey know exist contradistinction high level distal,train
232,1,1,pilot episode,Leonard,Which is?,,train
233,1,1,pilot episode,Sheldon,You think with your penis.,think penis,dev
234,1,1,pilot episode,Leonard,That’s a biological impossibility and you didn’t have to come.,biological impossibility come,train
235,1,1,pilot episode,Sheldon,"Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why can’t she get her own TV.",stay watch Wolowitz try hit Penny Russian Arabic Farsi tv,train
236,1,1,pilot episode,Leonard,"Come on, you know how it is with break-ups.",come know break up,dev
237,1,1,pilot episode,Sheldon,No I don’t. And neither do you.,,train
238,1,1,pilot episode,Leonard,"Wuh, I, I broke up with Joyce Kim.",Wuh break Joyce Kim,dev
239,1,1,pilot episode,Sheldon,"You did not break up with Joyce Kim, she defected to North Korea.",break Joyce Kim defect North Korea,train
240,1,1,pilot episode,Leonard,To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.,mend broken heart situation complicated kind dispute Penny ex boyfriend get custody tv want avoid scene,dev
241,1,1,pilot episode,Sheldon,So we get to have a scene with him?,scene,train
242,1,1,pilot episode,Leonard,"No, Sheldon, there’s not going to be a scene. There’s two of us and one of him.",Sheldon go scene,train
243,1,1,pilot episode,Sheldon,"Leonard, the two of us can’t even carry a TV.",leonard carry tv,train
244,1,1,pilot episode,Penny,"So, you guys work with Leonard and Sheldon at the University?",guy work Leonard Sheldon University,train
245,1,1,pilot episode,Penny,"Uh, I’m sorry, do you speak English?",speak English,train
246,1,1,pilot episode,Howard,"Oh, he speaks English, he just can’t speak to women.",speak English speak woman,train
247,1,1,pilot episode,Penny,"Really, why?",,dev
248,1,1,pilot episode,Howard,He’s kind of a nerd. Juice box?,kind nerd Juice box,train
249,1,1,pilot episode,Leonard,I’ll do the talking.,talk,train
251,1,1,pilot episode,Leonard,"Hi, I’m Leonard, this is Sheldon.",Leonard Sheldon,train
252,1,1,pilot episode,Sheldon,Hello.,,train
253,1,1,pilot episode,Leonard,"What did I just…. Uh, we’re here to pick up Penny’s TV.",pick penny tv,train
255,1,1,pilot episode,Sheldon,"Okay, thanks for your time.",thank time,dev
256,1,1,pilot episode,Leonard,We’re not going to give up just like that.,go like,train
257,1,1,pilot episode,Sheldon,"Leonard, the TV is in the building, we’ve been denied access to the building, ergo we are done.",Leonard tv building deny access build ergo,dev
258,1,1,pilot episode,Leonard,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang.",excuse little hitch able identify fingerprint stre theory aftermath big bang,train
259,1,1,pilot episode,Sheldon,My apologies. What’s your plan.,apology plan,train
260,1,1,pilot episode,Sheldon,It’s just a privilege to watch your mind at work.,privilege watch mind work,dev
261,1,1,pilot episode,Leonard,"Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building.",come combine iq able figure stupid building,dev
262,1,1,pilot episode,Sheldon,What do you think their combined IQ is?,think combine iq,train
263,1,1,pilot episode,Leonard,Just grab the door.,grab door,train
264,1,1,pilot episode,Leonard,This is it.,,dev
265,1,1,pilot episode,Sheldon,"Good thinking, I’ll just be the muscle.",good thinking muscle,train
267,1,1,pilot episode,Leonard,"I’m Leonard, this is Sheldon.",Leonard Sheldon,train
268,1,1,pilot episode,Sheldon,From the intercom.,intercom,train
270,1,1,pilot episode,Leonard,Oh. We’re scientists.,scientist,train
271,1,1,pilot episode,Sheldon,Tell him about our IQ.,tell iq,train
272,1,1,pilot episode,Sheldon,Leonard.,Leonard,train
273,1,1,pilot episode,Leonard,What?,,train
274,1,1,pilot episode,Sheldon,My mom bought me those pants.,mom buy pant,train
275,1,1,pilot episode,Leonard,I’m sorry.,,train
276,1,1,pilot episode,Sheldon,You’re going to have to call her.,go,train
277,1,1,pilot episode,Leonard,"Sheldon, I’m so sorry I dragged you through this.",Sheldon drag,train
278,1,1,pilot episode,Sheldon,"It’s okay. It wasn’t my first pantsing, and it won’t be my last.",pantsing,train
279,1,1,pilot episode,Leonard,"And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex.",right motive hope establish relationship Penny day led sex,dev
280,1,1,pilot episode,Sheldon,Well you got me out of my pants.,get pant,dev
281,1,1,pilot episode,Leonard,"Anyway, I’ve learned my lesson. She’s out of my league, I’m done with her, I’ve got my work, one day I’ll win the Nobel Prize and then I’ll die alone.",learn lesson league get work day win Nobel Prize die,train
282,1,1,pilot episode,Sheldon,"Don’t think like that, you’re not going to die alone.",think like go die,train
283,1,1,pilot episode,Leonard,"Thank you Sheldon, you’re a good friend.",thank sheldon good friend,train
284,1,1,pilot episode,Sheldon,And you’re certainly not going to win a Nobel Prize.,certainly go win Nobel Prize,train
285,1,1,pilot episode,Howard,"This is one of my favourite places to kick back after a quest, they have a great house ale.",favourite place kick quest great house ale,dev
286,1,1,pilot episode,Penny,"Wow, cool tiger.",cool tiger,train
287,1,1,pilot episode,Howard,"Yeah, I’ve had him since level ten. His name is Buttons. Anyway, if you had your own game character we could hang out, maybe go on a quest.",level button game character hang maybe quest,dev
288,1,1,pilot episode,Penny,"Uh, sounds interesting.",sound interesting,train
289,1,1,pilot episode,Howard,So you’ll think about it?,think,train
290,1,1,pilot episode,Penny,"Oh, I don’t think I’ll be able to stop thinking about it.",think able stop think,train
291,1,1,pilot episode,Raj,Smooth.,smooth,train
292,1,1,pilot episode,Leonard,We’re home.,home,train
293,1,1,pilot episode,Penny,"Oh, my God, what happened?",God happen,train
294,1,1,pilot episode,Leonard,"Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory.",ex boyfriend send regard think rest fairly self explanatory,train
295,1,1,pilot episode,Penny,"I’m so sorry, I really thought if you guys went instead of me he wouldn’t be such an ass.",think guy go instead ass,train
296,1,1,pilot episode,Leonard,"No, it was a valid hypothesis.",valid hypothesis,train
297,1,1,pilot episode,Sheldon,That was a valid hypothesis? What is happening to you?,valid hypothesis happen,train
298,1,1,pilot episode,Penny,"Really, thank you so much for going and trying you’re, uh, you’re so terrific. Why don’t you put some clothes on, I’ll get my purse and dinner is on me, okay?",thank go try terrific clothe purse dinner okay,train
299,1,1,pilot episode,Leonard,Really? Great.,great,train
300,1,1,pilot episode,Sheldon,"Thank you. You’re not done with her, are you?",thank,dev
301,1,1,pilot episode,Leonard,Our babies will be smart and beautiful.,baby smart beautiful,train
